location,offense,model_name,model_type,params,mape,mae,rmse,training_months,optimization_method
NY,violent-crime,"Prophet(yearly, cp=0.5, sp=1.0)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 1.0, 'yearly_seasonality': True}",3.33,226.63,305.24,52,grid search (32 combinations)
NY,property-crime,"ARIMA(0, 1, 0)",ARIMA,"{'order': (0, 1, 0)}",10.47,3073.83,3282.93,52,auto_arima (stepwise AIC)
NY,property-crime,"SARIMA(1, 1, 0)(2, 0, 1, 12)",SARIMA,"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 1, 12)}",5.62,1644.11,1804.8,52,auto_arima (stepwise AIC)
NY,property-crime,"Prophet(yearly, cp=0.5, sp=1.0)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 1.0, 'yearly_seasonality': True}",3.34,970.2,1092.88,52,grid search (32 combinations)
NY,homicide,"ARIMA(3, 0, 2)",ARIMA,"{'order': (3, 0, 2)}",17.5,10.43,13.21,52,auto_arima (stepwise AIC)
NY,homicide,"SARIMA(3, 0, 2)(0, 0, 1, 12)",SARIMA,"{'order': (3, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",22.72,13.25,16.04,52,auto_arima (stepwise AIC)
NY,homicide,"Prophet(no-season, cp=0.001, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.001, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",9.28,5.81,9.16,52,grid search (32 combinations)
NY,burglary,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",10.62,259.94,298.87,52,auto_arima (stepwise AIC)
NY,burglary,"SARIMA(1, 0, 0)(1, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 12)}",20.57,498.28,540.01,52,auto_arima (stepwise AIC)
NY,burglary,"Prophet(yearly, cp=0.5, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",6.6,152.14,183.09,52,grid search (32 combinations)
NY,motor-vehicle-theft,"ARIMA(0, 1, 0)",ARIMA,"{'order': (0, 1, 0)}",10.83,309.5,391.71,52,auto_arima (stepwise AIC)
NY,motor-vehicle-theft,"SARIMA(0, 1, 0)(0, 0, 0, 12)",SARIMA,"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 0, 12)}",10.83,309.5,391.71,52,auto_arima (stepwise AIC)
NY,motor-vehicle-theft,"Prophet(yearly, cp=0.5, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",12.21,336.91,408.24,52,grid search (32 combinations)
IL,violent-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",8.47,277.78,317.56,52,auto_arima (stepwise AIC)
IL,violent-crime,"SARIMA(1, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",8.47,277.78,317.56,52,auto_arima (stepwise AIC)
IL,violent-crime,"Prophet(yearly, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",6.37,200.92,232.61,52,grid search (32 combinations)
IL,property-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",18.54,3553.63,3621.61,52,auto_arima (stepwise AIC)
IL,property-crime,"SARIMA(1, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",18.54,3553.63,3621.61,52,auto_arima (stepwise AIC)
IL,property-crime,"Prophet(yearly, cp=0.5, sp=1.0)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 1.0, 'yearly_seasonality': True}",4.85,919.41,1177.0,52,grid search (32 combinations)
IL,homicide,"ARIMA(2, 0, 1)",ARIMA,"{'order': (2, 0, 1)}",26.75,17.78,20.22,52,auto_arima (stepwise AIC)
IL,homicide,"SARIMA(1, 0, 0)(1, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 12)}",15.22,11.26,13.58,52,auto_arima (stepwise AIC)
IL,homicide,"Prophet(yearly, cp=0.001, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.001, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",11.4,8.33,9.49,52,grid search (32 combinations)
IL,burglary,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",23.02,746.91,760.94,52,auto_arima (stepwise AIC)
IL,burglary,"SARIMA(1, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",23.02,746.91,760.94,52,auto_arima (stepwise AIC)
IL,burglary,"Prophet(yearly, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",6.95,225.8,243.78,52,grid search (32 combinations)
IL,motor-vehicle-theft,"ARIMA(0, 1, 0)",ARIMA,"{'order': (0, 1, 0)}",8.26,270.33,307.22,52,auto_arima (stepwise AIC)
IL,motor-vehicle-theft,"SARIMA(0, 1, 0)(0, 0, 1, 12)",SARIMA,"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 1, 12)}",7.51,242.4,268.09,52,auto_arima (stepwise AIC)
IL,motor-vehicle-theft,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",4.51,149.25,191.68,52,grid search (32 combinations)
